
  0%|                                                    | 0/18 [00:00<?, ?it/s]
tensor(2.3254, device='mps:0', grad_fn=<NllLossBackward0>)

 28%|████████████▏                               | 5/18 [00:27<01:05,  5.08s/it]
tensor(2.3356, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3349, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3297, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3363, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3348, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3409, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3337, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3407, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3435, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3327, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3360, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3432, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3359, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3414, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3382, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3301, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3432, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3447, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3464, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3424, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3286, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3296, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3265, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3360, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3335, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3424, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3364, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3257, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3388, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3354, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3395, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3387, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3433, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3243, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3390, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3398, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3284, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3327, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3386, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3302, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3364, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3416, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3372, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3350, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3310, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3371, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3463, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3376, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3287, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3405, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3476, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3321, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3457, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3344, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3295, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3332, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3252, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3221, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3385, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3239, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3289, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3322, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3360, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3304, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3366, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3391, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3390, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3479, device='mps:0', grad_fn=<NllLossBackward0>)

 33%|██████████████▋                             | 6/18 [00:32<00:59,  4.95s/it]
tensor(2.3431, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3305, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3399, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3345, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3266, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3367, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3540, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3468, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3465, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3404, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3231, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3439, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3349, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3325, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3480, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3457, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3363, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3309, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3309, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3368, device='mps:0', grad_fn=<NllLossBackward0>)
